pizza_type_id,ingredient_key
bbq_ckn,9
bbq_ckn,10
bbq_ckn,33
bbq_ckn,53
bbq_ckn,54
bbq_ckn,64
big_meat,8
big_meat,19
big_meat,34
big_meat,46
brie_carre,13
brie_carre,16
brie_carre,27
brie_carre,44
brie_carre,50
brie_carre,63
calabrese,1
calabrese,26
calabrese,27
calabrese,42
calabrese,53
calabrese,64
cali_ckn,4
cali_ckn,17
cali_ckn,25
cali_ckn,27
cali_ckn,31
cali_ckn,35
cali_ckn,60
ckn_alfredo,2
ckn_alfredo,7
ckn_alfredo,17
ckn_alfredo,39
ckn_alfredo,53
ckn_alfredo,54
ckn_pesto,17
ckn_pesto,27
ckn_pesto,47
ckn_pesto,54
ckn_pesto,60
ckn_pesto,64
classic_dlx,8
classic_dlx,39
classic_dlx,46
classic_dlx,53
classic_dlx,54
five_cheese,12
five_cheese,27
five_cheese,38
five_cheese,52
five_cheese,56
five_cheese,58
four_cheese,27
four_cheese,30
four_cheese,38
four_cheese,43
four_cheese,55
green_garden,24
green_garden,32
green_garden,39
green_garden,60
green_garden,64
hawaiian,38
hawaiian,48
hawaiian,57
ital_cpcllo,15
ital_cpcllo,27
ital_cpcllo,29
ital_cpcllo,41
ital_cpcllo,54
ital_cpcllo,64
ital_supr,14
ital_supr,15
ital_supr,27
ital_supr,32
ital_supr,53
ital_supr,64
ital_veggie,5
ital_veggie,23
ital_veggie,27
ital_veggie,47
ital_veggie,54
ital_veggie,64
ital_veggie,65
mediterraneo,5
mediterraneo,24
mediterraneo,36
mediterraneo,49
mediterraneo,53
mediterraneo,60
mediterraneo,61
mexicana,18
mexicana,20
mexicana,22
mexicana,27
mexicana,35
mexicana,53
mexicana,54
mexicana,64
napolitana,3
napolitana,27
napolitana,32
napolitana,53
napolitana,64
pep_msh_pep,33
pep_msh_pep,39
pep_msh_pep,46
pepperoni,38
pepperoni,46
peppr_salami,7
peppr_salami,15
peppr_salami,27
peppr_salami,28
peppr_salami,46
peppr_salami,64
prsc_argla,6
prsc_argla,38
prsc_argla,51
sicilian,21
sicilian,27
sicilian,32
sicilian,37
sicilian,40
sicilian,64
soppressata,25
soppressata,27
soppressata,38
soppressata,39
soppressata,59
southw_ckn,17
southw_ckn,18
southw_ckn,20
southw_ckn,22
southw_ckn,35
southw_ckn,53
southw_ckn,54
southw_ckn,64
spicy_ital,5
spicy_ital,15
spicy_ital,27
spicy_ital,29
spicy_ital,45
spicy_ital,64
spin_pesto,5
spin_pesto,27
spin_pesto,47
spin_pesto,60
spin_pesto,61
spin_pesto,64
spinach_fet,24
spinach_fet,27
spinach_fet,39
spinach_fet,53
spinach_fet,60
spinach_supr,5
spinach_supr,7
spinach_supr,27
spinach_supr,36
spinach_supr,46
spinach_supr,53
spinach_supr,60
spinach_supr,64
thai_ckn,17
thai_ckn,48
thai_ckn,54
thai_ckn,62
thai_ckn,64
the_greek,11
the_greek,24
the_greek,27
the_greek,36
the_greek,53
the_greek,64
veggie_veg,27
veggie_veg,33
veggie_veg,39
veggie_veg,53
veggie_veg,54
veggie_veg,60
veggie_veg,64
veggie_veg,65
