full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-01-01,20150101,2015,1,Q1,1,January,Jan,2015-01,1,4,Thursday,Thu,1,False,Winter,New Year's Day,True,True
2015-01-02,20150102,2015,1,Q1,1,January,Jan,2015-01,2,5,Friday,Fri,1,False,Winter,,False,True
2015-01-03,20150103,2015,1,Q1,1,January,Jan,2015-01,3,6,Saturday,Sat,1,True,Winter,,False,True
2015-01-04,20150104,2015,1,Q1,1,January,Jan,2015-01,4,7,Sunday,Sun,1,True,Winter,,False,True
2015-01-05,20150105,2015,1,Q1,1,January,Jan,2015-01,5,1,Monday,Mon,2,False,Winter,,False,True
2015-01-06,20150106,2015,1,Q1,1,January,Jan,2015-01,6,2,Tuesday,Tue,2,False,Winter,,False,True
2015-01-07,20150107,2015,1,Q1,1,January,Jan,2015-01,7,3,Wednesday,Wed,2,False,Winter,,False,True
2015-01-08,20150108,2015,1,Q1,1,January,Jan,2015-01,8,4,Thursday,Thu,2,False,Winter,,False,True
2015-01-09,20150109,2015,1,Q1,1,January,Jan,2015-01,9,5,Friday,Fri,2,False,Winter,,False,True
2015-01-10,20150110,2015,1,Q1,1,January,Jan,2015-01,10,6,Saturday,Sat,2,True,Winter,,False,True
2015-01-11,20150111,2015,1,Q1,1,January,Jan,2015-01,11,7,Sunday,Sun,2,True,Winter,,False,True
2015-01-12,20150112,2015,1,Q1,1,January,Jan,2015-01,12,1,Monday,Mon,3,False,Winter,,False,True
2015-01-13,20150113,2015,1,Q1,1,January,Jan,2015-01,13,2,Tuesday,Tue,3,False,Winter,,False,True
2015-01-14,20150114,2015,1,Q1,1,January,Jan,2015-01,14,3,Wednesday,Wed,3,False,Winter,,False,True
2015-01-15,20150115,2015,1,Q1,1,January,Jan,2015-01,15,4,Thursday,Thu,3,False,Winter,,False,True
2015-01-16,20150116,2015,1,Q1,1,January,Jan,2015-01,16,5,Friday,Fri,3,False,Winter,,False,True
2015-01-17,20150117,2015,1,Q1,1,January,Jan,2015-01,17,6,Saturday,Sat,3,True,Winter,,False,True
2015-01-18,20150118,2015,1,Q1,1,January,Jan,2015-01,18,7,Sunday,Sun,3,True,Winter,,False,True
2015-01-19,20150119,2015,1,Q1,1,January,Jan,2015-01,19,1,Monday,Mon,4,False,Winter,"Martin Luther King, Jr. Day",True,True
2015-01-20,20150120,2015,1,Q1,1,January,Jan,2015-01,20,2,Tuesday,Tue,4,False,Winter,,False,True
2015-01-21,20150121,2015,1,Q1,1,January,Jan,2015-01,21,3,Wednesday,Wed,4,False,Winter,,False,True
2015-01-22,20150122,2015,1,Q1,1,January,Jan,2015-01,22,4,Thursday,Thu,4,False,Winter,,False,True
2015-01-23,20150123,2015,1,Q1,1,January,Jan,2015-01,23,5,Friday,Fri,4,False,Winter,,False,True
2015-01-24,20150124,2015,1,Q1,1,January,Jan,2015-01,24,6,Saturday,Sat,4,True,Winter,,False,True
2015-01-25,20150125,2015,1,Q1,1,January,Jan,2015-01,25,7,Sunday,Sun,4,True,Winter,,False,True
2015-01-26,20150126,2015,1,Q1,1,January,Jan,2015-01,26,1,Monday,Mon,5,False,Winter,,False,True
2015-01-27,20150127,2015,1,Q1,1,January,Jan,2015-01,27,2,Tuesday,Tue,5,False,Winter,,False,True
