ingredient_key,ingredient_name,ingredient_category
1,'Nduja Salami,Meat
2,Alfredo Sauce,Sauce
3,Anchovies,Seafood
4,Artichoke,Vegetable & Other
5,Artichokes,Vegetable & Other
6,Arugula,Vegetable & Other
7,Asiago Cheese,Cheese
8,Bacon,Meat
9,Barbecue Sauce,Sauce
10,Barbecued Chicken,Meat
11,Beef Chuck Roast,Meat
12,Blue Cheese,Cheese
13,Brie Carre Cheese,Cheese
14,Calabrese Salami,Meat
15,Capocollo,Meat
16,Caramelized Onions,Vegetable & Other
17,Chicken,Meat
18,Chipotle Sauce,Sauce
19,Chorizo Sausage,Meat
20,Cilantro,Vegetable & Other
21,Coarse Sicilian Salami,Meat
22,Corn,Vegetable & Other
23,Eggplant,Vegetable & Other
24,Feta Cheese,Cheese
25,Fontina Cheese,Cheese
26,Friggitello Peppers,Vegetable & Other
27,Garlic,Vegetable & Other
28,Genoa Salami,Meat
29,Goat Cheese,Cheese
30,Gorgonzola Piccante Cheese,Cheese
31,Gouda Cheese,Cheese
32,Green Olives,Vegetable & Other
33,Green Peppers,Vegetable & Other
34,Italian Sausage,Meat
35,Jalapeno Peppers,Vegetable & Other
36,Kalamata Olives,Vegetable & Other
37,Luganega Sausage,Meat
38,Mozzarella Cheese,Cheese
39,Mushrooms,Vegetable & Other
40,Onions,Vegetable & Other
41,Oregano,Vegetable & Other
42,Pancetta,Meat
43,Parmigiano Reggiano Cheese,Cheese
44,Pears,Vegetable & Other
45,Peperoncini verdi,Vegetable & Other
46,Pepperoni,Meat
47,Pesto Sauce,Sauce
48,Pineapple,Vegetable & Other
49,Plum Tomatoes,Vegetable & Other
50,Prosciutto,Meat
51,Prosciutto di San Daniele,Meat
52,Provolone Cheese,Cheese
53,Red Onions,Vegetable & Other
54,Red Peppers,Vegetable & Other
55,Ricotta Cheese,Cheese
56,Romano Cheese,Cheese
57,Sliced Ham,Meat
58,Smoked Gouda Cheese,Cheese
59,Soppressata Salami,Meat
60,Spinach,Vegetable & Other
61,Sun-dried Tomatoes,Vegetable & Other
62,Thai Sweet Chilli Sauce,Sauce
63,Thyme,Vegetable & Other
64,Tomatoes,Vegetable & Other
65,Zucchini,Vegetable & Other
