pizza_key,pizza_id,pizza_type_id,pizza_name,pizza_short_name,category,size_code,size_name,size_rank,unit_price,ingredients
1,bbq_ckn_s,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,S,Small,1,12.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
2,bbq_ckn_m,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,M,Medium,2,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
3,bbq_ckn_l,bbq_ckn,The Barbecue Chicken Pizza,Barbecue Chicken,Chicken,L,Large,3,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
4,cali_ckn_s,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,S,Small,1,12.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
5,cali_ckn_m,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,M,Medium,2,16.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
6,cali_ckn_l,cali_ckn,The California Chicken Pizza,California Chicken,Chicken,L,Large,3,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
7,ckn_alfredo_s,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,S,Small,1,12.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
8,ckn_alfredo_m,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,M,Medium,2,16.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
9,ckn_alfredo_l,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,L,Large,3,20.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
10,ckn_pesto_s,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,S,Small,1,12.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
11,ckn_pesto_m,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,M,Medium,2,16.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
12,ckn_pesto_l,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,L,Large,3,20.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
13,southw_ckn_s,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,S,Small,1,12.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
14,southw_ckn_m,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,M,Medium,2,16.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
15,southw_ckn_l,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,L,Large,3,20.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
16,thai_ckn_s,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,S,Small,1,12.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
17,thai_ckn_m,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,M,Medium,2,16.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
