hour_24,time_key,hour_label,hour_ampm,daypart,is_open
0,0,00:00-00:59,12 AM,Late Night,False
1,1,01:00-01:59,1 AM,Late Night,False
2,2,02:00-02:59,2 AM,Late Night,False
3,3,03:00-03:59,3 AM,Late Night,False
4,4,04:00-04:59,4 AM,Late Night,False
5,5,05:00-05:59,5 AM,Late Night,False
6,6,06:00-06:59,6 AM,Late Night,False
7,7,07:00-07:59,7 AM,Late Night,False
8,8,08:00-08:59,8 AM,Late Night,False
9,9,09:00-09:59,9 AM,Morning,True
10,10,10:00-10:59,10 AM,Morning,True
11,11,11:00-11:59,11 AM,Lunch,True
12,12,12:00-12:59,12 PM,Lunch,True
13,13,13:00-13:59,1 PM,Lunch,True
14,14,14:00-14:59,2 PM,Afternoon,True
15,15,15:00-15:59,3 PM,Afternoon,True
16,16,16:00-16:59,4 PM,Afternoon,True
17,17,17:00-17:59,5 PM,Dinner,True
18,18,18:00-18:59,6 PM,Dinner,True
19,19,19:00-19:59,7 PM,Dinner,True
20,20,20:00-20:59,8 PM,Dinner,True
21,21,21:00-21:59,9 PM,Late Night,True
22,22,22:00-22:59,10 PM,Late Night,True
23,23,23:00-23:59,11 PM,Late Night,True
