sales_key,order_id,date_key,time_key,pizza_key,weather_key,quantity,unit_price,line_revenue
1,1,20150101,11,26,1,1,13.25,13.25
2,2,20150101,11,23,1,1,16.0,16.0
3,2,20150101,11,72,1,1,18.5,18.5
4,2,20150101,11,51,1,1,20.75,20.75
5,2,20150101,11,86,1,1,16.0,16.0
6,2,20150101,11,18,1,1,20.75,20.75
7,3,20150101,12,50,1,1,16.5,16.5
8,3,20150101,12,57,1,1,20.75,20.75
9,4,20150101,12,50,1,1,16.5,16.5
10,5,20150101,12,50,1,1,16.5,16.5
11,6,20150101,12,1,1,1,12.75,12.75
12,6,20150101,12,40,1,1,12.0,12.0
13,7,20150101,12,67,1,1,12.5,12.5
14,8,20150101,12,67,1,1,12.5,12.5
15,9,20150101,12,22,1,1,12.0,12.0
16,9,20150101,12,76,1,1,12.0,12.0
17,9,20150101,12,30,1,1,20.5,20.5
18,9,20150101,12,51,1,1,20.75,20.75
19,9,20150101,12,49,1,1,12.5,12.5
20,9,20150101,12,85,1,1,12.0,12.0
21,9,20150101,12,66,1,1,20.75,20.75
22,9,20150101,12,90,1,1,20.75,20.75
23,9,20150101,12,94,1,1,12.0,12.0
24,10,20150101,13,87,1,1,20.25,20.25
25,10,20150101,13,15,1,1,20.75,20.75
26,11,20150101,13,3,1,1,20.75,20.75
27,11,20150101,13,6,1,1,20.75,20.75
28,11,20150101,13,5,1,1,16.75,16.75
29,11,20150101,13,39,1,1,15.25,15.25
30,12,20150101,13,6,1,1,20.75,20.75
31,12,20150101,13,4,1,1,12.75,12.75
32,12,20150101,13,12,1,1,20.75,20.75
33,12,20150101,13,50,1,1,16.5,16.5
34,13,20150101,13,87,1,1,20.25,20.25
35,14,20150101,13,40,1,1,12.0,12.0
36,15,20150101,13,19,1,1,12.0,12.0
37,15,20150101,13,72,1,1,18.5,18.5
38,15,20150101,13,63,1,1,20.75,20.75
39,15,20150101,13,40,1,1,12.0,12.0
40,16,20150101,13,75,1,1,17.95,17.95
41,16,20150101,13,31,1,1,12.0,12.0
